Days to Ship Actual,Sales Forecast,Ship Status,Days to Ship Scheduled,Sales per Customer,Profit Ratio,Category,City,Country,Customer Name,Days to Ship Actual (bin),Discount,Number of Records,Order Date,Order ID,Postal Code,Product Name,Profit,Quantity,Region,Sales (bin),Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
5,99,Shipped Early,6,$70.72 ,-8.80%,Technology,Lancaster,United States,Henry Goldwyn,5,20,1,11/4/2017,US-2017-122672,43130,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,-6.188,4,East,$0 ,70.72,Corporate,11/9/2017,Standard Class,Ohio,Accessories
5,272,Shipped Early,6,$194.35 ,-22.50%,Office Supplies,Lancaster,United States,Henry Goldwyn,5,20,1,11/4/2017,US-2017-122672,43130,"Carina 42""Hx23 3/4""W Media Storage Unit",-43.7292,3,East,$0 ,194.352,Corporate,11/9/2017,Standard Class,Ohio,Storage
1,734,Shipped On Time,1,$523.76 ,-36.70%,Furniture,Greensboro,United States,Kelly Lampkin,0,40,1,11/4/2017,CA-2017-147760,27405,Hon 5100 Series Wood Tables,-192.0468,3,South,$478 ,523.764,Corporate,11/5/2017,First Class,North Carolina,Tables
0,11213,Shipped On Time,0,"$7,999.98 ",-48.00%,Technology,Burlington,United States,Grant Thornton,0,50,1,11/4/2017,US-2017-168116,27217,Cubify CubeX 3D Printer Triple Head Print,-3839.9904,4,South,"$7,648 ",7999.98,Corporate,11/4/2017,Same Day,North Carolina,Machines
4,5,Shipped Early,6,$3.56 ,-83.30%,Office Supplies,Chattanooga,United States,Christina Anderson,4,70,1,11/4/2017,CA-2017-102610,37421,Storex Dura Pro Binders,-2.97,2,South,$0 ,3.564,Consumer,11/8/2017,Standard Class,Tennessee,Binders
0,11,Shipped On Time,0,$7.54 ,-175.00%,Office Supplies,Bryan,United States,Frank Merwin,0,80,1,11/4/2017,CA-2017-121160,77803,GBC Standard Plastic Binding Systems' Combs,-13.188,6,Central,$0 ,7.536,Home Office,11/4/2017,Same Day,Texas,Binders
0,2,Shipped On Time,0,$1.41 ,-165.00%,Office Supplies,Bryan,United States,Frank Merwin,0,80,1,11/4/2017,CA-2017-121160,77803,Self-Adhesive Ring Binder Labels,-2.3232,2,Central,$0 ,1.408,Home Office,11/4/2017,Same Day,Texas,Binders
0,6,Shipped On Time,0,$4.14 ,-155.00%,Office Supplies,Bryan,United States,Frank Merwin,0,80,1,11/4/2017,CA-2017-121160,77803,Wilson Jones Impact Binders,-6.4232,4,Central,$0 ,4.144,Home Office,11/4/2017,Same Day,Texas,Binders
4,196,Shipped Early,6,$139.86 ,47.00%,Office Supplies,Seattle,United States,Kimberly Carter,4,0,1,11/3/2017,CA-2017-142636,98105,Xerox 191,65.7342,7,West,$0 ,139.86,Corporate,11/7/2017,Standard Class,Washington,Paper
4,17,Shipped Early,6,$12.39 ,46.00%,Office Supplies,Atlanta,United States,Julie Creighton,4,0,1,11/3/2017,CA-2017-126046,30318,Avery 476,5.6994,3,South,$0 ,12.39,Corporate,11/7/2017,Standard Class,Georgia,Labels
5,58,Shipped Early,6,$41.37 ,42.00%,Furniture,Las Cruces,United States,Denise Leinenbach,5,0,1,11/3/2017,CA-2017-143329,88001,9-3/4 Diameter Round Wall Clock,17.3754,3,West,$0 ,41.37,Consumer,11/8/2017,Standard Class,New Mexico,Furnishings
6,12,Shipped On Time,6,$8.56 ,45.00%,Office Supplies,Eagan,United States,Daniel Lacy,5,0,1,11/3/2017,CA-2017-121615,55122,Xerox 1971,3.852,2,Central,$0 ,8.56,Consumer,11/9/2017,Standard Class,Minnesota,Paper
6,73,Shipped On Time,6,$52.40 ,27.00%,Office Supplies,Eagan,United States,Daniel Lacy,5,0,1,11/3/2017,CA-2017-121615,55122,Sterilite Officeware Hinged File Box,14.148,5,Central,$0 ,52.4,Consumer,11/9/2017,Standard Class,Minnesota,Storage
6,21,Shipped On Time,6,$14.94 ,46.00%,Office Supplies,Eagan,United States,Daniel Lacy,5,0,1,11/3/2017,CA-2017-121615,55122,Avery 513,6.8724,3,Central,$0 ,14.94,Consumer,11/9/2017,Standard Class,Minnesota,Labels
2,61,Shipped Early,3,$43.50 ,25.00%,Technology,Seattle,United States,Eva Jacobs,1,0,1,11/3/2017,US-2017-110989,98105,HP Standard 104 key PS/2 Keyboard,10.875,3,West,$0 ,43.5,Consumer,11/5/2017,Second Class,Washington,Accessories
2,37,Shipped Early,3,$26.40 ,45.00%,Office Supplies,Richmond,United States,Patrick Jones,1,0,1,11/3/2017,CA-2017-103009,40475,Xerox 1963,11.88,5,South,$0 ,26.4,Corporate,11/5/2017,Second Class,Kentucky,Paper
5,50,Shipped Early,6,$35.88 ,49.00%,Office Supplies,San Francisco,United States,Paul Gonzalez,5,0,1,11/3/2017,CA-2017-148320,94109,Xerox 1992,17.5812,6,West,$0 ,35.88,Consumer,11/8/2017,Standard Class,California,Paper
2,280,Shipped Late,1,$199.75 ,44.00%,Technology,San Diego,United States,Clay Rozendal,1,0,1,11/3/2017,US-2017-105998,92037,Microsoft Sculpt Comfort Mouse,87.89,5,West,$0 ,199.75,Home Office,11/5/2017,First Class,California,Accessories
2,22,Shipped Early,3,$15.99 ,6.20%,Furniture,Murfreesboro,United States,Don Jones,1,20,1,11/3/2017,CA-2017-153339,37130,Telescoping Adjustable Floor Lamp,0.9995,1,South,$0 ,15.992,Corporate,11/5/2017,Second Class,Tennessee,Furnishings
4,430,Shipped Early,6,$307.14 ,8.80%,Furniture,Seattle,United States,Kimberly Carter,4,20,1,11/3/2017,CA-2017-142636,98105,Global Deluxe Office Fabric Chairs,26.8744,4,West,$0 ,307.136,Corporate,11/7/2017,Standard Class,Washington,Chairs
5,507,Shipped Early,6,$361.38 ,7.50%,Technology,Miami,United States,Beth Fritzler,5,20,1,11/3/2017,CA-2017-161130,33178,Polycom SoundPoint IP 450 VoIP phone,27.1032,2,South,$0 ,361.376,Corporate,11/8/2017,Standard Class,Florida,Phones
5,57,Shipped Early,6,$40.78 ,1.30%,Technology,Philadelphia,United States,Peter Bühler,5,20,1,11/3/2017,US-2017-101518,19140,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",0.5097,3,East,$0 ,40.776,Consumer,11/8/2017,Standard Class,Pennsylvania,Accessories
2,2345,Shipped Late,1,"$1,673.18 ",1.30%,Furniture,San Diego,United States,Clay Rozendal,1,20,1,11/3/2017,US-2017-105998,92037,Chromcraft Round Conference Tables,20.9148,12,West,"$1,434 ",1673.184,Home Office,11/5/2017,First Class,California,Tables
3,23,Shipped On Time,3,$16.27 ,32.50%,Office Supplies,Wilmington,United States,Justin MacKendrick,2,20,1,11/3/2017,CA-2017-130834,28403,Strathmore Photo Mount Cards,5.2884,3,South,$0 ,16.272,Consumer,11/6/2017,Second Class,North Carolina,Paper
4,26,Shipped Early,6,$18.37 ,32.50%,Office Supplies,Seattle,United States,Jack O'Briant,4,20,1,11/3/2017,US-2017-168802,98103,Binder Posts,5.9696,4,West,$0 ,18.368,Corporate,11/7/2017,Standard Class,Washington,Binders
6,682,Shipped On Time,6,$486.37 ,7.50%,Furniture,Bakersfield,United States,Bruce Geld,5,20,1,11/3/2017,CA-2017-135419,93309,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",36.4776,4,West,$478 ,486.368,Consumer,11/9/2017,Standard Class,California,Tables
4,1346,Shipped Early,6,$959.98 ,32.50%,Technology,Orlando,United States,Dave Kipp,4,20,1,11/3/2017,CA-2017-100622,32839,Canon Image Class D660 Copier,311.9948,2,South,$956 ,959.984,Consumer,11/7/2017,Standard Class,Florida,Copiers
4,78,Shipped Early,6,$55.98 ,7.50%,Office Supplies,Orlando,United States,Dave Kipp,4,20,1,11/3/2017,CA-2017-100622,32839,Hunt Boston Vacuum Mount KS Pencil Sharpener,4.1988,2,South,$0 ,55.984,Consumer,11/7/2017,Standard Class,Florida,Art
4,15,Shipped Early,6,$10.69 ,35.00%,Office Supplies,Orlando,United States,Dave Kipp,4,20,1,11/3/2017,CA-2017-100622,32839,Xerox 1923,3.7408,2,South,$0 ,10.688,Consumer,11/7/2017,Standard Class,Florida,Paper
5,16,Shipped Early,6,$11.67 ,-66.70%,Office Supplies,Philadelphia,United States,Darrin Martin,5,70,1,11/3/2017,CA-2017-110429,19143,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",-7.782,3,East,$0 ,11.673,Consumer,11/8/2017,Standard Class,Pennsylvania,Binders
4,6,Shipped Early,6,$4.09 ,-73.30%,Office Supplies,Orlando,United States,Dave Kipp,4,70,1,11/3/2017,CA-2017-100622,32839,Avery Self-Adhesive Photo Pockets for Polaroid Photos,-2.9964,2,South,$0 ,4.086,Consumer,11/7/2017,Standard Class,Florida,Binders
4,33,Shipped Early,6,$23.85 ,45.00%,Office Supplies,Seattle,United States,Ken Heidel,4,0,1,11/2/2017,CA-2017-164049,98105,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",10.7325,5,West,$0 ,23.85,Corporate,11/6/2017,Standard Class,Washington,Paper
4,26,Shipped Early,6,$18.24 ,50.00%,Office Supplies,Overland Park,United States,Kalyca Meade,4,0,1,11/2/2017,CA-2017-116358,66212,Staples,9.12,3,Central,$0 ,18.24,Corporate,11/6/2017,Standard Class,Kansas,Fasteners
4,39,Shipped Early,6,$27.78 ,33.00%,Office Supplies,Overland Park,United States,Kalyca Meade,4,0,1,11/2/2017,CA-2017-116358,66212,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",9.1674,6,Central,$0 ,27.78,Corporate,11/6/2017,Standard Class,Kansas,Art
2,107,Shipped Early,3,$76.58 ,50.00%,Office Supplies,Danville,United States,Nancy Lomonaco,1,0,1,11/2/2017,US-2017-163790,94526,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",38.29,7,West,$0 ,76.58,Home Office,11/4/2017,Second Class,California,Envelopes
2,12,Shipped Early,3,$8.80 ,48.00%,Office Supplies,Danville,United States,Nancy Lomonaco,1,0,1,11/2/2017,US-2017-163790,94526,Nontoxic Chalk,4.224,5,West,$0 ,8.8,Home Office,11/4/2017,Second Class,California,Art
2,8,Shipped Early,3,$5.58 ,3.00%,Office Supplies,Danville,United States,Nancy Lomonaco,1,0,1,11/2/2017,US-2017-163790,94526,"Super Bands, 12/Pack",0.1674,3,West,$0 ,5.58,Home Office,11/4/2017,Second Class,California,Fasteners
2,35,Shipped Early,3,$25.02 ,42.00%,Furniture,Danville,United States,Nancy Lomonaco,1,0,1,11/2/2017,US-2017-163790,94526,Document Clip Frames,10.5084,3,West,$0 ,25.02,Home Office,11/4/2017,Second Class,California,Furnishings
2,634,Shipped Early,3,$452.55 ,5.00%,Office Supplies,Danville,United States,Nancy Lomonaco,1,0,1,11/2/2017,US-2017-163790,94526,Space Solutions Commercial Steel Shelving,22.6275,7,West,$0 ,452.55,Home Office,11/4/2017,Second Class,California,Storage
3,7,Shipped On Time,3,$5.32 ,49.00%,Office Supplies,Henderson,United States,Thomas Boland,2,0,1,11/2/2017,CA-2017-143567,42420,Letter or Legal Size Expandable Poly String Tie Envelopes,2.6068,2,South,$0 ,5.32,Corporate,11/5/2017,Second Class,Kentucky,Envelopes
3,1368,Shipped On Time,3,$975.92 ,30.00%,Furniture,Henderson,United States,Thomas Boland,2,0,1,11/2/2017,CA-2017-143567,42420,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",292.776,4,South,$956 ,975.92,Corporate,11/5/2017,Second Class,Kentucky,Chairs
3,3153,Shipped On Time,3,"$2,249.91 ",23.00%,Technology,Henderson,United States,Thomas Boland,2,0,1,11/2/2017,CA-2017-143567,42420,Logitech diNovo Edge Keyboard,517.4793,9,South,"$1,912 ",2249.91,Corporate,11/5/2017,Second Class,Kentucky,Accessories
3,84,Shipped On Time,3,$59.92 ,28.00%,Office Supplies,Henderson,United States,Thomas Boland,2,0,1,11/2/2017,CA-2017-143567,42420,Super Decoflex Portable Personal File,16.7776,4,South,$0 ,59.92,Corporate,11/5/2017,Second Class,Kentucky,Storage
5,27,Shipped Early,6,$19.44 ,48.00%,Office Supplies,Salt Lake City,United States,Joy Bell-,5,0,1,11/2/2017,CA-2017-168179,84106,Xerox 220,9.3312,3,West,$0 ,19.44,Consumer,11/7/2017,Standard Class,Utah,Paper
5,236,Shipped Early,6,$168.10 ,26.00%,Office Supplies,Los Angeles,United States,Cindy Stewart,5,0,1,11/2/2017,US-2017-115609,90036,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,43.706,5,West,$0 ,168.1,Consumer,11/7/2017,Standard Class,California,Appliances
3,118,Shipped Late,1,$83.90 ,25.00%,Office Supplies,Saint Louis,United States,Nora Paige,2,0,1,11/2/2017,CA-2017-167227,63116,Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,20.975,10,Central,$0 ,83.9,Consumer,11/5/2017,First Class,Missouri,Appliances
3,16,Shipped Late,1,$11.76 ,49.00%,Office Supplies,Saint Louis,United States,Nora Paige,2,0,1,11/2/2017,CA-2017-167227,63116,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",5.7624,2,Central,$0 ,11.76,Consumer,11/5/2017,First Class,Missouri,Paper
4,8,Shipped Early,6,$5.56 ,26.00%,Office Supplies,Springfield,United States,Barry Gonzalez,4,0,1,11/2/2017,CA-2017-169005,22153,Newell 318,1.4456,2,South,$0 ,5.56,Consumer,11/6/2017,Standard Class,Virginia,Art
2,827,Shipped Early,3,$590.35 ,35.00%,Office Supplies,Danville,United States,Nancy Lomonaco,1,20,1,11/2/2017,US-2017-163790,94526,GBC Therma-A-Bind 250T Electric Binding System,206.6232,6,West,$478 ,590.352,Home Office,11/4/2017,Second Class,California,Binders
4,5,Shipped Early,6,$3.31 ,20.00%,Furniture,Philadelphia,United States,Thea Hudgings,4,20,1,11/2/2017,CA-2017-127782,19140,Eldon Image Series Black Desk Accessories,0.6624,1,East,$0 ,3.312,Corporate,11/6/2017,Standard Class,Pennsylvania,Furnishings
4,28,Shipped Early,6,$20.14 ,6.30%,Office Supplies,Philadelphia,United States,Thea Hudgings,4,20,1,11/2/2017,CA-2017-127782,19140,Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,1.2585,3,East,$0 ,20.136,Corporate,11/6/2017,Standard Class,Pennsylvania,Appliances
4,12,Shipped Early,6,$8.86 ,32.50%,Office Supplies,Philadelphia,United States,Thea Hudgings,4,20,1,11/2/2017,CA-2017-127782,19140,Colored Envelopes,2.8782,3,East,$0 ,8.856,Corporate,11/6/2017,Standard Class,Pennsylvania,Envelopes
4,539,Shipped Late,3,$384.59 ,-21.30%,Office Supplies,Columbus,United States,Anthony Rawles,4,20,1,11/2/2017,CA-2017-141425,43229,Premier Automatic Letter Opener,-81.7258,2,East,$0 ,384.592,Corporate,11/6/2017,Second Class,Ohio,Supplies
3,76,Shipped Late,1,$54.34 ,10.00%,Office Supplies,Bloomington,United States,Greg Guthrie,2,20,1,11/2/2017,US-2017-145597,61701,Stanley Bostitch Contemporary Electric Pencil Sharpeners,5.4336,4,Central,$0 ,54.336,Corporate,11/5/2017,First Class,Illinois,Art
5,218,Shipped Late,3,$155.37 ,-22.90%,Furniture,Springfield,United States,Sharelle Roach,5,30,1,11/2/2017,CA-2017-120061,45503,Office Star Flex Back Scooter Chair with White Frame,-35.5136,2,East,$0 ,155.372,Home Office,11/7/2017,Second Class,Ohio,Chairs
4,1204,Shipped Early,6,$859.20 ,-21.70%,Technology,Philadelphia,United States,Thea Hudgings,4,40,1,11/2/2017,CA-2017-127782,19140,Wilson Electronics DB Pro Signal Booster,-186.16,4,East,$478 ,859.2,Corporate,11/6/2017,Standard Class,Pennsylvania,Phones
2,3736,Shipped Early,3,"$2,665.62 ",9.00%,Furniture,Bellingham,United States,Sarah Foster,1,0,1,11/1/2017,CA-2017-123967,98226,Hon 94000 Series Round Tables,239.9058,9,West,"$2,390 ",2665.62,Consumer,11/3/2017,Second Class,Washington,Tables
3,266,Shipped On Time,3,$189.70 ,48.00%,Office Supplies,Everett,United States,Sandra Flanagan,2,0,1,11/1/2017,CA-2017-104136,2149,Xerox 1939,91.056,10,East,$0 ,189.7,Consumer,11/4/2017,Second Class,Massachusetts,Paper
3,57,Shipped On Time,3,$40.99 ,49.00%,Office Supplies,Everett,United States,Sandra Flanagan,2,0,1,11/1/2017,CA-2017-104136,2149,Xerox 1893,20.0851,1,East,$0 ,40.99,Consumer,11/4/2017,Second Class,Massachusetts,Paper
2,35,Shipped Early,3,$25.12 ,31.30%,Office Supplies,Bellingham,United States,Sarah Foster,1,20,1,11/1/2017,CA-2017-123967,98226,GBC Standard Plastic Binding Systems' Combs,7.85,5,West,$0 ,25.12,Consumer,11/3/2017,Second Class,Washington,Binders
4,7,Shipped Early,6,$5.25 ,11.30%,Office Supplies,Dallas,United States,Adrian Hane,4,20,1,10/31/2017,CA-2017-131632,75217,Newell 350,0.5904,2,Central,$0 ,5.248,Home Office,11/4/2017,Standard Class,Texas,Art
5,713,Shipped Early,6,$508.77 ,7.50%,Technology,Chicago,United States,Craig Yedwab,5,20,1,10/31/2017,CA-2017-117114,60610,ClearOne Communications CHAT 70 OC Speaker Phone,38.1576,4,Central,$478 ,508.768,Corporate,11/5/2017,Standard Class,Illinois,Phones
5,14,Shipped Early,6,$9.91 ,32.50%,Office Supplies,Chicago,United States,Craig Yedwab,5,20,1,10/31/2017,CA-2017-117114,60610,"#10 Gummed Flap White Envelopes, 100/Box",3.2214,3,Central,$0 ,9.912,Corporate,11/5/2017,Standard Class,Illinois,Envelopes
4,14,Shipped Early,6,$9.64 ,38.00%,Furniture,Vancouver,United States,Jane Waco,4,0,1,10/30/2017,CA-2017-139661,98661,Magna Visual Magnetic Picture Hangers,3.6632,2,West,$0 ,9.64,Corporate,11/3/2017,Standard Class,Washington,Furnishings
6,61,Shipped On Time,6,$43.86 ,47.00%,Office Supplies,San Francisco,United States,Jamie Kunitz,5,0,1,10/30/2017,CA-2017-123491,94122,Avery 500,20.6142,6,West,$0 ,43.86,Consumer,11/5/2017,Standard Class,California,Labels
6,10,Shipped On Time,6,$7.42 ,50.00%,Office Supplies,San Francisco,United States,Jamie Kunitz,5,0,1,10/30/2017,CA-2017-123491,94122,"""While you Were Out"" Message Book, One Form per Page",3.71,2,West,$0 ,7.42,Consumer,11/5/2017,Standard Class,California,Paper
6,28,Shipped On Time,6,$19.90 ,33.00%,Office Supplies,San Francisco,United States,Jamie Kunitz,5,0,1,10/30/2017,CA-2017-123491,94122,4009 Highlighters by Sanford,6.567,5,West,$0 ,19.9,Consumer,11/5/2017,Standard Class,California,Art
6,2386,Shipped On Time,6,"$1,702.12 ",30.00%,Office Supplies,San Francisco,United States,Jamie Kunitz,5,0,1,10/30/2017,CA-2017-123491,94122,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",510.636,14,West,"$1,434 ",1702.12,Consumer,11/5/2017,Standard Class,California,Appliances
3,280,Shipped Late,1,$199.98 ,19.00%,Furniture,Seattle,United States,Jim Karlsson,2,0,1,10/30/2017,CA-2017-142622,98115,Bestar Classic Bookcase,37.9962,2,West,$0 ,199.98,Consumer,11/2/2017,First Class,Washington,Bookcases
2,149,Shipped Late,1,$105.98 ,4.00%,Office Supplies,Richmond,United States,Ross DeVincentis,1,0,1,10/30/2017,CA-2017-155292,40475,Eldon Gobal File Keepers,4.2392,7,South,$0 ,105.98,Home Office,11/1/2017,First Class,Kentucky,Storage
2,49,Shipped Late,1,$35.06 ,30.00%,Office Supplies,Richmond,United States,Ross DeVincentis,1,0,1,10/30/2017,CA-2017-155292,40475,"Acme 10"" Easy Grip Assistive Scissors",10.518,2,South,$0 ,35.06,Home Office,11/1/2017,First Class,Kentucky,Supplies
2,48,Shipped Late,1,$33.94 ,27.00%,Furniture,Richmond,United States,Ross DeVincentis,1,0,1,10/30/2017,CA-2017-155292,40475,"Metal Folding Chairs, Beige, 4/Carton",9.1638,1,South,$0 ,33.94,Home Office,11/1/2017,First Class,Kentucky,Chairs
2,42,Shipped Late,1,$30.00 ,48.00%,Office Supplies,Richmond,United States,Ross DeVincentis,1,0,1,10/30/2017,CA-2017-155292,40475,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,14.4,8,South,$0 ,30,Home Office,11/1/2017,First Class,Kentucky,Labels
7,124,Shipped Late,6,$88.75 ,31.30%,Office Supplies,Seattle,United States,Michelle Moray,6,20,1,10/30/2017,CA-2017-127285,98115,"GBC Velobind Prepunched Cover Sets, Regency Series",27.735,3,West,$0 ,88.752,Consumer,11/6/2017,Standard Class,Washington,Binders
7,19,Shipped Late,6,$13.90 ,37.50%,Office Supplies,Seattle,United States,Michelle Moray,6,20,1,10/30/2017,CA-2017-127285,98115,Cardinal Slant-D Ring Binders,5.214,2,West,$0 ,13.904,Consumer,11/6/2017,Standard Class,Washington,Binders
6,208,Shipped On Time,6,$148.48 ,11.30%,Technology,San Francisco,United States,Jamie Kunitz,5,20,1,10/30/2017,CA-2017-123491,94122,Geemarc AmpliPOWER60,16.704,2,West,$0 ,148.48,Consumer,11/5/2017,Standard Class,California,Phones
6,101,Shipped On Time,6,$71.99 ,-1.30%,Furniture,San Francisco,United States,Jamie Kunitz,5,20,1,10/30/2017,CA-2017-123491,94122,"Global Leather Task Chair, Black",-0.8999,1,West,$0 ,71.992,Consumer,11/5/2017,Standard Class,California,Chairs
4,29,Shipped Early,6,$20.74 ,35.00%,Office Supplies,Philadelphia,United States,Mick Crebagga,4,20,1,10/30/2017,CA-2017-152807,19140,Xerox 231,7.2576,4,East,$0 ,20.736,Consumer,11/3/2017,Standard Class,Pennsylvania,Paper
4,10,Shipped Early,6,$7.17 ,13.80%,Furniture,Philadelphia,United States,Mick Crebagga,4,20,1,10/30/2017,CA-2017-152807,19140,"Stacking Tray, Side-Loading, Legal, Smoke",0.9856,2,East,$0 ,7.168,Consumer,11/3/2017,Standard Class,Pennsylvania,Furnishings
4,16,Shipped Early,6,$11.17 ,-22.50%,Office Supplies,Philadelphia,United States,Mick Crebagga,4,20,1,10/30/2017,CA-2017-152807,19140,Eldon Shelf Savers Cubes and Bins,-2.5128,2,East,$0 ,11.168,Consumer,11/3/2017,Standard Class,Pennsylvania,Storage
4,620,Shipped Early,6,$442.40 ,-12.50%,Technology,Philadelphia,United States,Mick Crebagga,4,20,1,10/30/2017,CA-2017-152807,19140,First Data FD10 PIN Pad,-55.3,7,East,$0 ,442.4,Consumer,11/3/2017,Standard Class,Pennsylvania,Accessories
3,137,Shipped Late,1,$97.57 ,-6.30%,Furniture,Seattle,United States,Jim Karlsson,2,20,1,10/30/2017,CA-2017-142622,98115,Novimex Fabric Task Chair,-6.098,2,West,$0 ,97.568,Consumer,11/2/2017,First Class,Washington,Chairs
3,861,Shipped Late,1,$614.27 ,-3.80%,Furniture,Seattle,United States,Jim Karlsson,2,20,1,10/30/2017,CA-2017-142622,98115,Global Super Steno Chair,-23.0352,8,West,$478 ,614.272,Consumer,11/2/2017,First Class,Washington,Chairs
0,76,Shipped On Time,0,$54.19 ,7.50%,Office Supplies,Dallas,United States,Ryan Akin,0,20,1,10/30/2017,CA-2017-152583,75217,X-Rack File for Hanging Folders,4.0644,6,Central,$0 ,54.192,Consumer,10/30/2017,Same Day,Texas,Storage
0,352,Shipped On Time,0,$251.01 ,-27.10%,Furniture,Dallas,United States,Ryan Akin,0,30,1,10/30/2017,CA-2017-152583,75217,"Bevis Round Conference Table Top, X-Base",-68.1302,2,Central,$0 ,251.006,Consumer,10/30/2017,Same Day,Texas,Tables
0,23,Shipped On Time,0,$16.19 ,-52.50%,Furniture,Dallas,United States,Ryan Akin,0,60,1,10/30/2017,CA-2017-152583,75217,"DAX Metal Frame, Desktop, Stepped-Edge",-8.5008,2,Central,$0 ,16.192,Consumer,10/30/2017,Same Day,Texas,Furnishings
2,66,Shipped Early,3,$46.96 ,48.00%,Office Supplies,Auburn,United States,George Bell,1,0,1,10/29/2017,CA-2017-160983,13021,Things To Do Today Pad,22.5408,8,East,$0 ,46.96,Corporate,10/31/2017,Second Class,New York,Paper
5,67,Shipped Late,3,$47.98 ,50.00%,Office Supplies,New York City,United States,Lori Olson,5,0,1,10/28/2017,CA-2017-118367,10035,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",23.99,2,East,$0 ,47.98,Corporate,11/2/2017,Second Class,New York,Envelopes
4,31,Shipped Early,6,$21.93 ,47.00%,Office Supplies,Everett,United States,Sue Ann Reed,4,0,1,10/28/2017,CA-2017-160661,2149,Avery 519,10.3071,3,East,$0 ,21.93,Consumer,11/1/2017,Standard Class,Massachusetts,Labels
4,34,Shipped Late,3,$24.00 ,-11.30%,Technology,Houston,United States,Keith Herrera,4,20,1,10/28/2017,CA-2017-111262,77095,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,-2.7,2,Central,$0 ,24,Consumer,11/1/2017,Second Class,Texas,Accessories
4,22,Shipped Late,3,$15.55 ,35.00%,Office Supplies,Houston,United States,Keith Herrera,4,20,1,10/28/2017,CA-2017-111262,77095,Xerox 21,5.4432,3,Central,$0 ,15.552,Consumer,11/1/2017,Second Class,Texas,Paper
4,37,Shipped Late,3,$26.18 ,-12.50%,Technology,Houston,United States,Keith Herrera,4,20,1,10/28/2017,CA-2017-111262,77095,Logitech Desktop MK120 Mouse and keyboard Combo,-3.272,2,Central,$0 ,26.176,Consumer,11/1/2017,Second Class,Texas,Accessories
2,109,Shipped Early,3,$77.95 ,20.00%,Furniture,Fayetteville,United States,Janet Martin,1,20,1,10/28/2017,CA-2017-139353,28314,"Computer Room Manger, 14""",15.5904,3,South,$0 ,77.952,Consumer,10/30/2017,Second Class,North Carolina,Furnishings
2,206,Shipped Early,3,$147.18 ,-20.00%,Office Supplies,Fayetteville,United States,Janet Martin,1,20,1,10/28/2017,CA-2017-139353,28314,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",-29.4368,2,South,$0 ,147.184,Consumer,10/30/2017,Second Class,North Carolina,Storage
2,67,Shipped Early,3,$47.95 ,33.80%,Office Supplies,Fayetteville,United States,Janet Martin,1,20,1,10/28/2017,CA-2017-139353,28314,Xerox 1936,16.1838,3,South,$0 ,47.952,Consumer,10/30/2017,Second Class,North Carolina,Paper
1,780,Shipped On Time,1,$556.66 ,1.20%,Furniture,San Francisco,United States,Jack O'Briant,0,15,1,10/27/2017,CA-2017-130764,94110,"O'Sullivan Elevations Bookcase, Cherry Finish",6.549,5,West,$478 ,556.665,Corporate,10/28/2017,First Class,California,Bookcases
3,10,Shipped On Time,3,$7.06 ,31.30%,Office Supplies,Chicago,United States,Matt Abelman,2,20,1,10/27/2017,CA-2017-110373,60610,Prang Colored Pencils,2.205,3,Central,$0 ,7.056,Home Office,10/30/2017,Second Class,Illinois,Art
3,38,Shipped On Time,3,$27.18 ,7.50%,Technology,Chicago,United States,Matt Abelman,2,20,1,10/27/2017,CA-2017-110373,60610,Spigen Samsung Galaxy S5 Case Wallet,2.0388,2,Central,$0 ,27.184,Home Office,10/30/2017,Second Class,Illinois,Phones
1,134,Shipped On Time,1,$95.84 ,36.30%,Technology,San Francisco,United States,Jack O'Briant,0,20,1,10/27/2017,CA-2017-130764,94110,Jackery Bar Premium Fast-charging Portable Charger,34.742,4,West,$0 ,95.84,Corporate,10/28/2017,First Class,California,Phones
7,22,Shipped Late,6,$15.84 ,35.00%,Office Supplies,Dallas,United States,Sally Hughsby,6,20,1,10/27/2017,CA-2017-127922,75081,#6 3/4 Gummed Flap White Envelopes,5.544,2,Central,$0 ,15.84,Corporate,11/3/2017,Standard Class,Texas,Envelopes
